Page 1 | Text: TAX | x: 3.99, y: 0.90, width: 0.23, height: 0.12
Page 1 | Text: NOS | x: 5.84, y: 6.18, width: 0.19, height: 0.09
Page 1 | Text: 30000.00 | x: 6.27, y: 6.20, width: 0.40, height: 0.11
Page 1 | Text: 186,000.00 | x: 7.17, y: 6.53, width: 0.48, height: 0.10
Page 1 | Text: Total | x: 5.44, y: 8.22, width: 0.21, height: 0.10
Page 1 | Text: Amount | x: 5.67, y: 8.22, width: 0.35, height: 0.09
Page 1 | Text: Before | x: 6.04, y: 8.22, width: 0.29, height: 0.10
Page 1 | Text: Tax | x: 6.36, y: 8.22, width: 0.14, height: 0.10
Page 1 | Text: 216000.00 | x: 7.19, y: 8.22, width: 0.45, height: 0.11
Page 1 | Text: Discount | x: 6.12, y: 8.39, width: 0.38, height: 0.10
Page 1 | Text: 0.00 | x: 7.45, y: 8.41, width: 0.19, height: 0.10
Page 1 | Text: IGST@18 | x: 6.12, y: 8.58, width: 0.40, height: 0.11
Page 1 | Text: 38880.00 | x: 7.21, y: 8.61, width: 0.40, height: 0.11
Page 1 | Text: Total | x: 5.82, y: 9.26, width: 0.22, height: 0.10
Page 1 | Text: GST | x: 6.06, y: 9.26, width: 0.16, height: 0.11
Page 1 | Text: : | x: 6.24, y: 9.26, width: 0.04, height: 0.11
Page 1 | Text: Grand | x: 5.79, y: 9.46, width: 0.27, height: 0.11
Page 1 | Text: Total | x: 6.08, y: 9.46, width: 0.20, height: 0.11
Page 1 | Text: (INR) | x: 6.30, y: 9.46, width: 0.25, height: 0.12
Page 1 | Text: : | x: 6.57, y: 9.46, width: 0.05, height: 0.11
Page 1 | Text: 38880.00 | x: 7.19, y: 9.27, width: 0.40, height: 0.10
Page 1 | Text: 254,880.00 | x: 7.14, y: 9.46, width: 0.47, height: 0.11
Page 1 | Text: For | x: 5.46, y: 9.70, width: 0.15, height: 0.10
Page 1 | Text: GREENGLOBE | x: 5.62, y: 9.70, width: 0.59, height: 0.11
Page 1 | Text: FUEL | x: 6.23, y: 9.70, width: 0.22, height: 0.11
Page 1 | Text: SOLUTIONS | x: 6.46, y: 9.70, width: 0.50, height: 0.12
Page 1 | Text: PVT. | x: 6.99, y: 9.69, width: 0.20, height: 0.12
Page 1 | Text: LTD. | x: 7.20, y: 9.69, width: 0.19, height: 0.12
Page 1 | Text: Slaque | x: 6.04, y: 9.81, width: 0.63, height: 0.43
Page 1 | Text: Authorised | x: 5.98, y: 10.35, width: 0.47, height: 0.10
Page 1 | Text: Signatory | x: 6.47, y: 10.35, width: 0.41, height: 0.11
Page 1 | Text: Registered | x: 0.53, y: 10.51, width: 0.35, height: 0.11
Page 1 | Text: Office | x: 0.90, y: 10.51, width: 0.20, height: 0.11
Page 1 | Text: . | x: 1.12, y: 10.51, width: 0.02, height: 0.11
Page 1 | Text: GREENGLOBE | x: 1.15, y: 10.51, width: 0.46, height: 0.11
Page 1 | Text: FUFI | x: 1.63, y: 10.52, width: 0.17, height: 0.11
Page 1 | Text: SOLUTIONS | x: 1.82, y: 10.52, width: 0.40, height: 0.10
Page 1 | Text: PVT | x: 2.24, y: 10.53, width: 0.12, height: 0.10
Page 1 | Text: LTD, | x: 2.37, y: 10.53, width: 0.15, height: 0.10
Page 1 | Text: UNIT | x: 2.53, y: 10.53, width: 0.17, height: 0.10
Page 1 | Text: NO. | x: 2.72, y: 10.53, width: 0.12, height: 0.10
Page 1 | Text: 1.5 | x: 2.86, y: 10.53, width: 0.11, height: 0.10
Page 1 | Text: BUILDING | x: 2.99, y: 10.53, width: 0.33, height: 0.10
Page 1 | Text: NO.05 | x: 3.34, y: 10.54, width: 0.20, height: 0.10
Page 1 | Text: , | x: 3.55, y: 10.54, width: 0.02, height: 0.10
Page 1 | Text: RADHE | x: 3.59, y: 10.54, width: 0.24, height: 0.10
Page 1 | Text: KRISHNA | x: 3.86, y: 10.54, width: 0.28, height: 0.10
Page 1 | Text: INDUSTRIAL | x: 4.16, y: 10.54, width: 0.43, height: 0.10
Page 1 | Text: PARK, | x: 4.60, y: 10.55, width: 0.20, height: 0.09
Page 1 | Text: SURVEY | x: 4.82, y: 10.56, width: 0.27, height: 0.09
Page 1 | Text: NO.65/4 | x: 5.11, y: 10.56, width: 0.28, height: 0.09
Page 1 | Text: , | x: 5.40, y: 10.56, width: 0.03, height: 0.09
Page 1 | Text: MUMBAI | x: 5.46, y: 10.56, width: 0.32, height: 0.09
Page 1 | Text: NACHIK | x: 5.79, y: 10.56, width: 0.26, height: 0.09
Page 1 | Text: ROAD. | x: 0.53, y: 10.63, width: 0.20, height: 0.11
Page 1 | Text: VILLAGE-PIMPLAS | x: 0.75, y: 10.64, width: 0.58, height: 0.11
Page 1 | Text: .TAL | x: 1.35, y: 10.64, width: 0.15, height: 0.10
Page 1 | Text: BHIWANDI | x: 1.51, y: 10.64, width: 0.36, height: 0.10
Page 1 | Text: , | x: 1.89, y: 10.65, width: 0.03, height: 0.10
Page 1 | Text: THANE | x: 1.94, y: 10.65, width: 0.23, height: 0.10
Page 1 | Text: - | x: 2.19, y: 10.65, width: 0.04, height: 0.09
Page 1 | Text: 421302 | x: 2.25, y: 10.65, width: 0.24, height: 0.10
Page 1 | Text: . | x: 2.50, y: 10.65, width: 0.03, height: 0.10
Page 1 | Text: MAHARASTRA | x: 2.56, y: 10.65, width: 0.48, height: 0.10
Page 1 | Text: INDIA | x: 3.05, y: 10.66, width: 0.21, height: 0.09
Page 1 | Text: SAP | x: 0.55, y: 10.74, width: 0.44, height: 0.18
Page 1 | Text: Print | x: 1.38, y: 10.79, width: 0.21, height: 0.11
Page 1 | Text: Time | x: 1.62, y: 10.80, width: 0.20, height: 0.11
Page 1 | Text: : | x: 1.85, y: 10.80, width: 0.06, height: 0.11
Page 1 | Text: 15:22:33 | x: 1.94, y: 10.80, width: 0.37, height: 0.11
Page 1 | Text: Prinled | x: 5.79, y: 10.84, width: 0.24, height: 0.09
Page 1 | Text: by | x: 6.06, y: 10.84, width: 0.09, height: 0.09
Page 1 | Text: SAP | x: 6.17, y: 10.85, width: 0.15, height: 0.08
Page 1 | Text: Business | x: 6.34, y: 10.84, width: 0.32, height: 0.09
Page 1 | Text: One | x: 6.67, y: 10.84, width: 0.15, height: 0.10
Page 1 | Text: Page | x: 7.07, y: 10.80, width: 0.23, height: 0.11
Page 1 | Text: 1 | x: 7.34, y: 10.80, width: 0.06, height: 0.10
Page 1 | Text: of | x: 7.42, y: 10.80, width: 0.11, height: 0.10
Page 1 | Text: 1 | x: 7.55, y: 10.80, width: 0.06, height: 0.10
